card_id	review_time	review_rating	review_state	review_duration	review_date	real_days	delta_t	i	t_history	r_history	y
1000660.0	-2147483648	3	1.0	5.0	2023-02-20 18:53:10+01:00	2459995.5	1	16	0,1,2,7,4,6,15,40,8,15,1,5,13,25,25	1,3,3,3,1,3,3,1,3,1,3,3,3,3,1	1
1000660.0	-2147483648	1	1.0	5.0	2023-03-11 23:38:45+01:00	2460014.5	19	17	0,1,2,7,4,6,15,40,8,15,1,5,13,25,25,1	1,3,3,3,1,3,3,1,3,1,3,3,3,3,1,3	0
1000660.0	-2147483648	3	1.0	5.0	2023-03-12 21:41:31+01:00	2460015.5	1	18	0,1,2,7,4,6,15,40,8,15,1,5,13,25,25,1,19	1,3,3,3,1,3,3,1,3,1,3,3,3,3,1,3,1	1
1000660.0	-2147483648	3	1.0	5.0	2023-03-17 10:35:26+01:00	2460020.5	5	19	0,1,2,7,4,6,15,40,8,15,1,5,13,25,25,1,19,1	1,3,3,3,1,3,3,1,3,1,3,3,3,3,1,3,1,3	1
1000660.0	-2147483648	3	1.0	5.0	2023-03-27 23:10:48+02:00	2460030.5	10	20	0,1,2,7,4,6,15,40,8,15,1,5,13,25,25,1,19,1,5	1,3,3,3,1,3,3,1,3,1,3,3,3,3,1,3,1,3,3	1
1000660.0	-2147483648	3	1.0	5.0	2023-04-17 00:10:06+02:00	2460050.5	20	21	0,1,2,7,4,6,15,40,8,15,1,5,13,25,25,1,19,1,5,10	1,3,3,3,1,3,3,1,3,1,3,3,3,3,1,3,1,3,3,3	1
1000660.0	-2147483648	3	1.0	5.0	2023-05-23 00:32:01+02:00	2460086.5	36	22	0,1,2,7,4,6,15,40,8,15,1,5,13,25,25,1,19,1,5,10,20	1,3,3,3,1,3,3,1,3,1,3,3,3,3,1,3,1,3,3,3,3	1
1000660.0	-2147483648	3	1.0	5.0	2023-07-30 02:53:30+02:00	2460155.5	69	23	0,1,2,7,4,6,15,40,8,15,1,5,13,25,25,1,19,1,5,10,20,36	1,3,3,3,1,3,3,1,3,1,3,3,3,3,1,3,1,3,3,3,3,3	1
1000660.0	-2147483648	3	1.0	5.0	2023-11-30 10:33:26+01:00	2460278.5	123	24	0,1,2,7,4,6,15,40,8,15,1,5,13,25,25,1,19,1,5,10,20,36,69	1,3,3,3,1,3,3,1,3,1,3,3,3,3,1,3,1,3,3,3,3,3,3	1
1000710.0	-2147483648	3	1.0	5.0	2022-09-10 01:14:05+02:00	2459832.5	0	1			1
1000710.0	-2147483648	1	1.0	5.0	2022-09-18 23:34:54+02:00	2459840.5	8	2	0	3	0
1000710.0	-2147483648	3	1.0	5.0	2022-09-23 08:22:27+02:00	2459845.5	5	3	0,8	3,1	1
1000710.0	-2147483648	3	1.0	5.0	2022-10-05 01:31:58+02:00	2459857.5	12	4	0,8,5	3,1,3	1
1000710.0	-2147483648	3	1.0	5.0	2022-11-07 01:19:45+01:00	2459890.5	33	5	0,8,5,12	3,1,3,3	1
1000710.0	-2147483648	3	1.0	5.0	2023-01-29 14:49:47+01:00	2459973.5	83	6	0,8,5,12,33	3,1,3,3,3	1
1000710.0	-2147483648	3	1.0	5.0	2023-08-30 22:47:38+02:00	2460186.5	213	7	0,8,5,12,33,83	3,1,3,3,3,3	1
1000750.0	-2147483648	1	1.0	5.0	2023-01-01 23:55:32+01:00	2459945.5	0	1			0
1000750.0	-2147483648	3	1.0	5.0	2023-01-02 23:35:57+01:00	2459946.5	1	2	0	1	1
1000750.0	-2147483648	3	1.0	5.0	2023-01-13 00:17:40+01:00	2459956.5	10	3	0,1	1,3	1
1000750.0	-2147483648	3	1.0	5.0	2023-03-06 02:34:40+01:00	2460009.5	53	4	0,1,10	1,3,3	1
1000750.0	-2147483648	1	1.0	5.0	2023-08-21 12:57:18+02:00	2460177.5	168	5	0,1,10,53	1,3,3,3	0
1000750.0	-2147483648	3	1.0	5.0	2023-09-02 11:50:57+02:00	2460189.5	12	6	0,1,10,53,168	1,3,3,3,1	1
1000750.0	-2147483648	2	1.0	5.0	2023-10-04 23:45:34+02:00	2460221.5	32	7	0,1,10,53,168,12	1,3,3,3,1,3	1
1000750.0	-2147483648	3	1.0	5.0	2023-11-25 19:36:53+01:00	2460273.5	52	8	0,1,10,53,168,12,32	1,3,3,3,1,3,2	1
1000860.0	-2147483648	3	1.0	5.0	2022-12-24 17:40:33+01:00	2459937.5	0	1			1
1000860.0	-2147483648	3	1.0	5.0	2023-01-02 22:53:35+01:00	2459946.5	9	2	0	3	1
1000860.0	-2147483648	3	1.0	5.0	2023-02-02 13:34:47+01:00	2459977.5	31	3	0,9	3,3	1
1001010.0	-2147483648	1	1.0	5.0	2022-08-25 16:19:37+02:00	2459816.5	0	1			0
1001010.0	-2147483648	3	1.0	5.0	2022-08-26 17:13:13+02:00	2459817.5	1	2	0	1	1
1001010.0	-2147483648	1	1.0	5.0	2022-08-31 02:35:04+02:00	2459822.5	5	3	0,1	1,3	0
1001010.0	-2147483648	2	1.0	5.0	2022-09-03 19:05:09+02:00	2459825.5	3	4	0,1,5	1,3,1	1
1001010.0	-2147483648	1	1.0	5.0	2022-09-09 23:29:55+02:00	2459831.5	6	5	0,1,5,3	1,3,1,2	0
1001010.0	-2147483648	3	1.0	5.0	2022-09-13 21:41:34+02:00	2459835.5	4	6	0,1,5,3,6	1,3,1,2,1	1
1001010.0	-2147483648	3	1.0	5.0	2022-09-23 08:23:52+02:00	2459845.5	10	7	0,1,5,3,6,4	1,3,1,2,1,3	1
1001010.0	-2147483648	3	1.0	5.0	2022-10-19 21:30:35+02:00	2459871.5	26	8	0,1,5,3,6,4,10	1,3,1,2,1,3,3	1
1001010.0	-2147483648	1	1.0	5.0	2022-12-21 01:52:23+01:00	2459934.5	63	9	0,1,5,3,6,4,10,26	1,3,1,2,1,3,3,3	0
1001010.0	-2147483648	3	1.0	5.0	2022-12-27 16:50:15+01:00	2459940.5	6	10	0,1,5,3,6,4,10,26,63	1,3,1,2,1,3,3,3,1	1
1001010.0	-2147483648	3	1.0	5.0	2023-01-12 00:18:33+01:00	2459955.5	15	11	0,1,5,3,6,4,10,26,63,6	1,3,1,2,1,3,3,3,1,3	1
1001010.0	-2147483648	1	1.0	5.0	2023-02-15 00:16:07+01:00	2459989.5	34	12	0,1,5,3,6,4,10,26,63,6,15	1,3,1,2,1,3,3,3,1,3,3	0
1001010.0	-2147483648	3	1.0	5.0	2023-02-20 21:29:02+01:00	2459995.5	6	13	0,1,5,3,6,4,10,26,63,6,15,34	1,3,1,2,1,3,3,3,1,3,3,1	1
1001010.0	-2147483648	3	1.0	5.0	2023-03-05 01:32:48+01:00	2460008.5	13	14	0,1,5,3,6,4,10,26,63,6,15,34,6	1,3,1,2,1,3,3,3,1,3,3,1,3	1
1001010.0	-2147483648	3	1.0	5.0	2023-03-31 00:23:53+02:00	2460033.5	25	15	0,1,5,3,6,4,10,26,63,6,15,34,6,13	1,3,1,2,1,3,3,3,1,3,3,1,3,3	1
1001010.0	-2147483648	3	1.0	5.0	2023-05-23 00:33:16+02:00	2460086.5	53	16	0,1,5,3,6,4,10,26,63,6,15,34,6,13,25	1,3,1,2,1,3,3,3,1,3,3,1,3,3,3	1
1001010.0	-2147483648	3	1.0	5.0	2023-09-08 13:29:18+02:00	2460195.5	109	17	0,1,5,3,6,4,10,26,63,6,15,34,6,13,25,53	1,3,1,2,1,3,3,3,1,3,3,1,3,3,3,3	1
1001110.0	-2147483648	1	1.0	5.0	2023-10-27 02:08:45+02:00	2460244.5	0	1			0
1001110.0	-2147483648	3	1.0	5.0	2023-10-29 02:51:42+02:00	2460246.5	2	2	0	1	1
1001110.0	-2147483648	1	1.0	5.0	2023-11-12 18:58:17+01:00	2460260.5	14	3	0,2	1,3	0
1001110.0	-2147483648	1	1.0	5.0	2023-11-27 19:28:30+01:00	2460275.5	15	4	0,2,14	1,3,1	0
1001110.0	-2147483648	3	1.0	5.0	2023-12-01 13:28:26+01:00	2460279.5	4	5	0,2,14,15	1,3,1,1	1
1001200.0	-2147483648	4	1.0	5.0	2022-07-27 20:32:55+02:00	2459787.5	0	1			1
1001350.0	-2147483648	1	1.0	5.0	2023-03-18 00:38:50+01:00	2460020.5	0	1			0
1001350.0	-2147483648	3	1.0	5.0	2023-03-18 14:57:08+01:00	2460021.5	1	2	0	1	1
1001350.0	-2147483648	3	1.0	5.0	2023-03-23 23:52:24+01:00	2460026.5	5	3	0,1	1,3	1
1001350.0	-2147483648	3	1.0	5.0	2023-04-13 11:39:37+02:00	2460047.5	21	4	0,1,5	1,3,3	1
1001370.0	-2147483648	4	1.0	5.0	2023-07-11 02:12:07+02:00	2460136.5	0	1			1
1001370.0	-2147483648	4	1.0	5.0	2023-07-31 08:44:45+02:00	2460156.5	20	2	0	4	1
1001370.0	-2147483648	3	1.0	5.0	2023-11-25 19:46:00+01:00	2460273.5	117	3	0,20	4,4	1
1001480.0	-2147483648	3	1.0	5.0	2023-03-19 22:15:05+01:00	2460022.5	0	1			1
1001480.0	-2147483648	3	1.0	5.0	2023-03-28 19:29:23+02:00	2460031.5	9	2	0	3	1
1001480.0	-2147483648	3	1.0	5.0	2023-04-26 23:59:34+02:00	2460060.5	29	3	0,9	3,3	1
1001480.0	-2147483648	3	1.0	5.0	2023-07-31 08:29:39+02:00	2460156.5	96	4	0,9,29	3,3,3	1
1001540.0	-2147483648	4	1.0	5.0	2022-10-29 12:35:27+02:00	2459881.5	0	1			1
1001540.0	-2147483648	3	1.0	5.0	2022-11-20 01:19:11+01:00	2459903.5	22	2	0	4	1
1001540.0	-2147483648	3	1.0	5.0	2023-02-12 01:13:51+01:00	2459987.5	84	3	0,22	4,3	1
1001560.0	-2147483648	4	1.0	5.0	2022-08-31 02:45:41+02:00	2459822.5	0	1			1
1001560.0	-2147483648	4	1.0	5.0	2022-09-18 17:17:03+02:00	2459840.5	18	2	0	4	1
1001560.0	-2147483648	3	1.0	5.0	2022-12-26 15:54:29+01:00	2459939.5	99	3	0,18	4,4	1
1001720.0	-2147483648	1	1.0	5.0	2022-07-29 19:08:14+02:00	2459789.5	0	1			0
1001740.0	-2147483648	4	1.0	5.0	2023-03-18 00:33:53+01:00	2460020.5	0	1			1
1001740.0	-2147483648	3	1.0	5.0	2023-04-06 00:30:35+02:00	2460039.5	19	2	0	4	1
1001740.0	-2147483648	3	1.0	5.0	2023-06-15 21:55:14+02:00	2460110.5	71	3	0,19	4,3	1
1001740.0	-2147483648	3	1.0	5.0	2023-07-10 05:23:35+02:00	2460135.5	25	4	0,19,71	4,3,3	1
1001740.0	-2147483648	3	1.0	5.0	2023-07-19 01:59:40+02:00	2460144.5	9	5	0,19,71,25	4,3,3,3	1
1001740.0	-2147483648	3	1.0	5.0	2023-08-24 23:10:14+02:00	2460180.5	36	6	0,19,71,25,9	4,3,3,3,3	1
1001760.0	-2147483648	3	1.0	5.0	2022-12-13 11:59:01+01:00	2459926.5	0	1			1
1001760.0	-2147483648	3	1.0	5.0	2022-12-22 20:51:40+01:00	2459935.5	9	2	0	3	1
1001760.0	-2147483648	3	1.0	5.0	2023-01-23 00:58:07+01:00	2459966.5	31	3	0,9	3,3	1
1001760.0	-2147483648	3	1.0	5.0	2023-05-06 02:58:23+02:00	2460070.5	104	4	0,9,31	3,3,3	1
1001770.0	-2147483648	4	1.0	5.0	2022-12-21 02:19:27+01:00	2459934.5	0	1			1
1001770.0	-2147483648	3	1.0	5.0	2023-01-10 13:29:21+01:00	2459954.5	20	2	0	4	1
1001770.0	-2147483648	3	1.0	5.0	2023-03-28 19:42:54+02:00	2460031.5	77	3	0,20	4,3	1
1001770.0	-2147483648	3	1.0	5.0	2023-12-03 19:02:55+01:00	2460281.5	250	4	0,20,77	4,3,3	1
1001910.0	-2147483648	1	1.0	5.0	2023-06-27 02:33:14+02:00	2460122.5	0	1			0
1001910.0	-2147483648	3	1.0	5.0	2023-06-29 23:33:42+02:00	2460124.5	2	2	0	1	1
1001910.0	-2147483648	3	1.0	5.0	2023-07-10 00:36:07+02:00	2460134.5	10	3	0,2	1,3	1
1001910.0	-2147483648	2	1.0	5.0	2023-08-27 00:48:23+02:00	2460182.5	48	4	0,2,10	1,3,3	1
1001910.0	-2147483648	3	1.0	5.0	2023-11-22 08:26:03+01:00	2460270.5	88	5	0,2,10,48	1,3,3,2	1
1001970.0	-2147483648	3	1.0	5.0	2022-09-19 00:03:50+02:00	2459840.5	0	1			1
1001970.0	-2147483648	3	1.0	5.0	2022-09-28 00:28:12+02:00	2459849.5	9	2	0	3	1
1001970.0	-2147483648	3	1.0	5.0	2022-10-28 14:44:09+02:00	2459880.5	31	3	0,9	3,3	1
1001970.0	-2147483648	3	1.0	5.0	2023-02-05 20:10:25+01:00	2459980.5	100	4	0,9,31	3,3,3	1
1002010.0	-2147483648	1	1.0	5.0	2022-11-03 00:38:52+01:00	2459885.5	0	1			0
1002010.0	-2147483648	3	1.0	5.0	2022-11-03 06:22:06+01:00	2459886.5	1	2	0	1	1
