i	r_history	group_cnt	stability	avg_retention	avg_interval	last_stability	factor	last_recall
2	1	3359	0.2	0.647	1.1	0.0	inf	1
3	1,1	1210	0.3	0.67	1.5	0.2	1.5	1
4	1,1,1	462	0.4	0.689	2.3	0.3	1.33	1
5	1,1,1,1	172	0.3	0.593	2.5	0.4	0.75	1
5	1,1,1,3	261	1.2	0.692	5.7	0.4	3.0	3
6	1,1,1,3,3	161	3.0	0.668	18.6	1.2	2.5	3
4	1,1,3	702	1.1	0.663	4.7	0.3	3.67	3
5	1,1,3,1	241	1.1	0.801	2.4	1.1	1.0	1
6	1,1,3,1,3	181	2.6	0.74	8.8	1.1	2.36	3
7	1,1,3,1,3,3	127	3.6	0.641	25.4	2.6	1.38	3
5	1,1,3,3	435	3.0	0.61	18.3	1.1	2.73	3
6	1,1,3,3,1	157	1.9	0.785	5.1	3.0	0.63	1
7	1,1,3,3,1,3	112	8.5	0.841	15.6	1.9	4.47	3
6	1,1,3,3,3	255	12.3	0.698	60.9	3.0	4.1	3
7	1,1,3,3,3,3	144	52.3	0.836	89.4	12.3	4.25	3
3	1,2	134	1.0	0.745	2.8	0.2	5.0	2
3	1,3	2006	1.7	0.76	4.3	0.2	8.5	3
4	1,3,1	469	1.5	0.854	2.4	1.7	0.88	1
5	1,3,1,3	363	2.9	0.778	8.3	1.5	1.93	3
6	1,3,1,3,3	255	7.0	0.715	28.6	2.9	2.41	3
7	1,3,1,3,3,3	173	29.3	0.797	85.3	7.0	4.19	3
8	1,3,1,3,3,3,3	101	86.1	0.848	196.1	29.3	2.94	3
4	1,3,3	1455	8.2	0.796	17.8	1.7	4.82	3
5	1,3,3,1	282	2.3	0.763	6.2	8.2	0.28	1
6	1,3,3,1,3	208	9.2	0.826	21.5	2.3	4.0	3
7	1,3,3,1,3,3	156	36.8	0.842	58.5	9.2	4.0	3
8	1,3,3,1,3,3,3	112	48.2	0.806	154.5	36.8	1.31	3
5	1,3,3,3	1094	33.5	0.827	65.1	8.2	4.09	3
6	1,3,3,3,1	183	3.9	0.882	4.7	33.5	0.12	1
7	1,3,3,3,1,3	131	30.3	0.936	17.6	3.9	7.77	3
8	1,3,3,3,1,3,3	113	45.0	0.912	48.7	30.3	1.49	3
6	1,3,3,3,3	717	111.4	0.885	142.2	33.5	3.33	3
7	1,3,3,3,3,1	100	6.1	0.844	12.3	111.4	0.05	1
7	1,3,3,3,3,3	209	122.2	0.922	94.7	111.4	1.1	3
2	2	221	2.8	0.89	2.2	0.0	inf	2
3	2,3	147	13.5	0.917	9.7	2.8	4.82	3
4	2,3,3	114	66.0	0.946	29.1	13.5	4.89	3
2	3	2017	7.0	0.937	3.3	0.0	inf	3
3	3,1	135	1.2	0.866	2.3	7.0	0.17	1
3	3,3	1744	41.2	0.961	11.2	7.0	5.89	3
4	3,3,3	1473	120.3	0.956	41.7	41.2	2.92	3
5	3,3,3,3	1095	174.9	0.915	119.2	120.3	1.45	3
6	3,3,3,3,3	600	353.3	0.944	207.0	174.9	2.02	3
7	3,3,3,3,3,3	120	406.0	0.97	50.8	353.3	1.15	3
2	4	191	143.2	0.983	19.0	0.0	inf	4
3	4,3	144	367.6	0.989	58.5	143.2	2.57	3
4	4,3,3	121	747.9	0.98	157.3	367.6	2.03	3
