r_history	delta_t	y	y
		mean	count
1	1	0.6488751654168504	2267
1	2	0.6	475
1	3	0.68561872909699	299
1	4	0.6379310344827587	174
1	5	0.5268817204301075	93
1	6	0.5098039215686274	51
2	1	0.8990825688073395	109
2	2	0.9166666666666666	12
2	3	0.875	8
2	4	0.9090909090909091	11
2	7	0.8181818181818182	11
2	8	0.8333333333333334	42
2	10	0.9166666666666666	12
2	12	0.875	16
3	1	0.9498117942283564	797
3	2	0.9658119658119658	117
3	4	0.975609756097561	41
3	5	0.9647058823529412	170
3	6	0.9619047619047619	105
3	7	0.9154929577464789	71
3	8	0.8333333333333334	114
3	9	0.8975501113585747	449
3	10	0.934640522875817	153
4	3	1.0	6
4	4	1.0	6
4	5	1.0	6
4	14	1.0	36
4	15	1.0	11
4	16	1.0	10
4	18	0.9736842105263158	38
4	19	1.0	32
4	20	1.0	15
4	21	1.0	6
4	22	1.0	11
4	115	0.875	8
4	116	1.0	6
